Drylab Set Report CSV v0.9.1 
Documented at https://tbd.drylab.io/ 
cameraLetter;cameraName;cameraStart;actionStart;actionEnd;createdAt;filenameBase;reel;lens;filters;pan;tilt;dutch;colorTemperature;iso;tStop;distanceToBackground;distanceToGround;distanceToObject;latitude;longitude;scenes;shot;take;episodes;dayNumber;dayDate;takeID;ac;ac2;dataWrangler;director;dit;dop;producer;scriptSupervisor;soundMixer;tags;shotNotes;cameraTakeNotes;;cameraTakeNotes
A;;;;;;A029C001;A029;;;;;;;;;;;;;;8补;13;1; ; 20230921;;30208FC9-4BD0-4489-8229-AA2D0F000000;;;;;;-03:52;;;;全景 LS,KEEP,;;尾板; 
C;;;;;;C027C002;C027;;;;;;;;;;;;;;8补;13;1; ; 20230921;;30208FC9-4BD0-4489-8229-AA2D0F000002;;;;;;-03:52;;;;全景 LS,KEEP,;;尾板; 
A;;;;;;A029C002;A029;;;;;;;;;;;;;;8补;13;2; ; 20230921;;30208FC9-4BD0-4489-8229-AA2D0F000000;;;;;;-03:52;;;;全景 LS,KEEP,;;; 
C;;;;;;C027C003;C027;;;;;;;;;;;;;;8补;13;2; ; 20230921;;30208FC9-4BD0-4489-8229-AA2D0F000002;;;;;;-03:52;;;;全景 LS,KEEP,;;; 
A;;;;;;A029C003;A029;;;;;;;;;;;;;;8补;13;3; ; 20230921;;30208FC9-4BD0-4489-8229-AA2D0F000000;;;;;;-03:52;;;;全景 LS,Circle,;;；用郑立棍掉下去; 
C;;;;;;C027C004;C027;;;;;;;;;;;;;;8补;13;3; ; 20230921;;30208FC9-4BD0-4489-8229-AA2D0F000002;;;;;;-03:52;;;;全景 LS,Circle,;;；用郑立棍掉下去; 
C;;;;;;C027C001;C027;;;;;;;;;;;;;;8补;13跑;1; ; 20230921;;30208FC9-4BD0-4489-8229-AA2D0F001002;;;;;;-03:52;;;;;;; 
A;;;;;;A029C004;A029;;;;;;;;;;;;;;8补;14;1; ; 20230921;;30208FC9-4BD0-4489-8229-AA2D0F002000;;;;;;-03:52;;;;中近景 MCS,KEEP,;;; 
B;;;;;;B028C001;B028;;;;;;;;;;;;;;8补;14;1; ; 20230921;;30208FC9-4BD0-4489-8229-AA2D0F002001;;;;;;-03:52;;;;近特,KEEP,;;; 
A;;;;;;A029C005;A029;;;;;;;;;;;;;;8补;14;2; ; 20230921;;30208FC9-4BD0-4489-8229-AA2D0F002000;;;;;;-03:52;;;;中近景 MCS,Circle,;;; 
B;;;;;;B028C002;B028;;;;;;;;;;;;;;8补;14;2; ; 20230921;;30208FC9-4BD0-4489-8229-AA2D0F002001;;;;;;-03:52;;;;近特,Circle,;;; 
A;;;;;;A029C006;A029;;;;;;;;;;;;;;8补;CR-14;1; ; 20230921;;30208FC9-4BD0-4489-8229-AA2D0F003000;;;;;;-03:52;;;;;;; 
B;;;;;;B028C003;B028;;;;;;;;;;;;;;8补;CR-14;1; ; 20230921;;30208FC9-4BD0-4489-8229-AA2D0F003001;;;;;;-03:52;;;;;;; 
A;;;;;;A029C007;A029;;;;;;;;;;;;;;8补;15;1; ; 20230921;;30208FC9-4BD0-4489-8229-AA2D0F004000;;;;;;-03:52;;;;全景 LS,KEEP,;;；; 
B;;;;;;B028C004;B028;;;;;;;;;;;;;;8补;15;1; ; 20230921;;30208FC9-4BD0-4489-8229-AA2D0F004001;;;;;;-03:52;;;;全景 LS,KEEP,;;；; 
A;;;;;;A029C008;A029;;;;;;;;;;;;;;8补;15;2; ; 20230921;;30208FC9-4BD0-4489-8229-AA2D0F004000;;;;;;-03:52;;;;全景 LS,Circle,;;; 
B;;;;;;B028C005;B028;;;;;;;;;;;;;;8补;15;2; ; 20230921;;30208FC9-4BD0-4489-8229-AA2D0F004001;;;;;;-03:52;;;;全景 LS,Circle,;;; 
C;;;;;;C027C006;C027;;;;;;;;;;;;;;8补;16;1; ; 20230921;;30208FC9-4BD0-4489-8229-AA2D0F005002;;;;;;-03:52;;;;全景 LS,KEEP,;（;; 
C;;;;;;C027C007;C027;;;;;;;;;;;;;;8补;16;2; ; 20230921;;30208FC9-4BD0-4489-8229-AA2D0F005002;;;;;;-03:52;;;;全景 LS,KEEP,;（;; 
C;;;;;;C027C008;C027;;;;;;;;;;;;;;8补;16;3; ; 20230921;;30208FC9-4BD0-4489-8229-AA2D0F005002;;;;;;-03:52;;;;全景 LS,Circle,;（;; 
C;;;;;;C027C005;C027;;;;;;;;;;;;;;8补;REH-16;1; ; 20230921;;30208FC9-4BD0-4489-8229-AA2D0F006002;;;;;;-03:52;;;;;;; 
B;;;;;;B028C006;B028;;;;;;;;;;;;;;8补;17;1; ; 20230921;;30208FC9-4BD0-4489-8229-AA2D0F007001;;;;;;-03:52;;;;近景 CS,NG,;;；; 
B;;;;;;B028C007;B028;;;;;;;;;;;;;;8补;17;2; ; 20230921;;30208FC9-4BD0-4489-8229-AA2D0F007001;;;;;;-03:52;;;;近景 CS,Circle,;;; 
B;;;;;;B028C008;B028;;;;;;;;;;;;;;8补;17;3; ; 20230921;;30208FC9-4BD0-4489-8229-AA2D0F007001;;;;;;-03:52;;;;近景 CS,NG,;;，; 
B;;;;;;B028C009;B028;;;;;;;;;;;;;;8补;17;4; ; 20230921;;30208FC9-4BD0-4489-8229-AA2D0F007001;;;;;;-03:52;;;;近景 CS,NG,;;，; 
B;;;;;;B028C010;B028;;;;;;;;;;;;;;8补;18;1; ; 20230921;;30208FC9-4BD0-4489-8229-AA2D0F008001;;;;;;-03:52;;;;中-近,KEEP,;;; 
B;;;;;;B028C011;B028;;;;;;;;;;;;;;8补;18;2; ; 20230921;;30208FC9-4BD0-4489-8229-AA2D0F008001;;;;;;-03:52;;;;中-近,Circle,;;; 
B;;;;;;B028C012;B028;;;;;;;;;;;;;;8补;19;1; ; 20230921;;30208FC9-4BD0-4489-8229-AA2D0F009001;;;;;;-03:52;;;;近景 CS,Circle,;;；; 
A;;;;;;A029C009;A029;;;;;;;;;;;;;;8补;20;1; ; 20230921;;30208FC9-4BD0-4489-8229-AA2D0F010000;;;;;;-03:52;;;;全景 LS,NG,;;; 
