"Name / Clip Identifier","Type","Camera","Scene","Shot","Take","Look Name","Rating","Output Colorspace","TC Start","Create Date","Look Modified Date","Grading Mode","LUT Nodes"
"C027C006","Still","C","8补","16","1","ARRI_LogC2Video_Rec709_AFL-2","3","Rec.2100 PQ","00:09:53:06","2023-09-21T15:07:09Z","2023-09-21T15:07:09Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"C027C007","Still","C","8补","16","2","ARRI_LogC2Video_Rec709_AFL-2","3","Rec.2100 PQ","00:11:03:21","2023-09-21T15:08:21Z","2023-09-21T15:08:21Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B028C006","Still","B","8补","17","1","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","00:11:31:15","2023-09-21T16:11:35Z","2023-09-21T16:11:35Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B028C007","Still","B","8补","17","2","ARRI_LogC2Video_Rec709_AFL-2","5","Rec.2100 PQ","00:11:51:02","2023-09-21T16:11:54Z","2023-09-21T16:11:54Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B028C008","Still","B","8补","17","3","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","00:11:54:08","2023-09-21T16:11:57Z","2023-09-21T16:11:57Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B028C009","Still","B","8补","17","4","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","00:11:57:05","2023-09-21T16:12:00Z","2023-09-21T16:12:00Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A029C009","Still","A","8补","20","1","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","01:12:34:00","2023-09-21T17:12:37Z","2023-09-21T17:12:37Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A029C010","Still","A","8补","20","2","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","01:14:15:16","2023-09-21T17:14:21Z","2023-09-21T17:14:21Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A029C011","Still","A","8补","20","3","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","01:19:17:05","2023-09-21T17:19:21Z","2023-09-21T17:19:21Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A029C012","Still","A","8补","21","1","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","01:19:21:02","2023-09-21T17:19:24Z","2023-09-21T17:19:24Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A029C013","Still","A","8补","21","⚽️","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","01:22:56:04","2023-09-21T17:22:59Z","2023-09-21T17:22:59Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B028C013","Still","B","8补","22","1","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","01:33:21:16","2023-09-21T17:33:25Z","2023-09-21T17:33:25Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B028C014","Still","B","8补","22","2","ARRI_LogC2Video_Rec709_AFL-2","3","Rec.2100 PQ","01:35:00:10","2023-09-21T17:35:03Z","2023-09-21T17:35:03Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B028C015","Still","B","8补","22","3","ARRI_LogC2Video_Rec709_AFL-2","5","Rec.2100 PQ","01:36:19:06","2023-09-21T17:36:22Z","2023-09-21T17:36:22Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B028C016","Still","B","8补","22","⚽️","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","01:37:27:16","2023-09-21T17:37:31Z","2023-09-21T17:37:31Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B028C017","Still","B","8补","23","1","ARRI_LogC2Video_Rec709_AFL-2","3","Rec.2100 PQ","01:51:54:20","2023-09-21T17:51:59Z","2023-09-21T17:51:59Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B028C018","Still","B","8补","23","2","ARRI_LogC2Video_Rec709_AFL-2","5","Rec.2100 PQ","01:57:23:09","2023-09-21T17:57:27Z","2023-09-21T17:57:27Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B028C019","Still","B","8补","24","1","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","02:01:38:22","2023-09-21T18:01:42Z","2023-09-21T18:01:42Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B028C020","Still","B","8补","24","2","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","02:03:12:16","2023-09-21T18:03:16Z","2023-09-21T18:03:16Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B028C021","Still","B","8补","24","3","ARRI_LogC2Video_Rec709_AFL-2","3","Rec.2100 PQ","02:05:26:17","2023-09-21T18:05:30Z","2023-09-21T18:05:30Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B028C022","Still","B","8补","24","4","ARRI_LogC2Video_Rec709_AFL-2","5","Rec.2100 PQ","02:05:52:23","2023-09-21T18:05:56Z","2023-09-21T18:05:56Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B028C023","Still","B","8补","24","⚽️","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","02:06:54:16","2023-09-21T18:06:58Z","2023-09-21T18:06:58Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"C027C008","Still","C","8补","16","3","ARRI_LogC2Video_Rec709_AFL-2","5","Rec.2100 PQ","00:11:03:21","2023-09-23T11:31:11Z","2023-09-23T11:31:11Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B028C010","Still","B","8补","18","1","ARRI_LogC2Video_Rec709_AFL-2","3","Rec.2100 PQ","00:00:00:00","2023-09-23T11:34:38Z","2023-09-23T11:35:00Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B028C011","Look","B","8补","18","2","ARRI_LogC2Video_Rec709_AFL-2","5","Rec.2100 PQ",,"2023-09-23T11:34:41Z","2023-09-23T11:34:41Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B028C012","Look","B","8补","19","1","ARRI_LogC2Video_Rec709_AFL-2","5","Rec.2100 PQ","00:00:00:00","2023-09-23T11:36:18Z","2023-09-23T11:36:18Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
