"Name / Clip Identifier","Type","Camera","Scene","Shot","Take","Look Name","Rating","Output Colorspace","TC Start","Create Date","Look Modified Date","Grading Mode","LUT Nodes"
"C027C002","Still","C","8补","13","1","ARRI_LogC2Video_Rec709_AFL-2","3","Rec.2100 PQ","20:17:57:10","2023-09-21T12:18:01Z","2023-09-21T12:18:01Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A029C001","Still","A","8补","13","1","ARRI_LogC2Video_Rec709_AFL-2","3","Rec.2100 PQ","20:17:57:05","2023-09-21T12:18:01Z","2023-09-21T12:18:01Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A029C002","Still","A","8补","13","2","ARRI_LogC2Video_Rec709_AFL-2","3","Rec.2100 PQ","20:23:51:07","2023-09-21T12:23:55Z","2023-09-21T12:23:55Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"C027C003","Still","C","8补","13","2","ARRI_LogC2Video_Rec709_AFL-2","3","Rec.2100 PQ","20:23:51:11","2023-09-21T12:23:56Z","2023-09-21T12:23:56Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"C027C004","Still","C","8补","13","3","ARRI_LogC2Video_Rec709_AFL-2","5","Rec.2100 PQ","20:26:45:20","2023-09-21T12:26:50Z","2023-09-21T12:26:50Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A029C003","Still","A","8补","13","3","ARRI_LogC2Video_Rec709_AFL-2","5","Rec.2100 PQ","20:26:45:17","2023-09-21T12:26:50Z","2023-09-21T12:26:50Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A029C004","Still","A","8补","14","1","ARRI_LogC2Video_Rec709_AFL-2","3","Rec.2100 PQ","20:26:45:17","2023-09-21T13:16:49Z","2023-09-21T13:16:49Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B028C001","Still","B","8补","14","1","ARRI_LogC2Video_Rec709_AFL-2","3","Rec.2100 PQ","21:08:37:20","2023-09-21T13:16:49Z","2023-09-21T13:16:49Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A029C005","Still","A","8补","14","2","ARRI_LogC2Video_Rec709_AFL-2","5","Rec.2100 PQ","21:18:13:01","2023-09-21T13:18:16Z","2023-09-21T13:18:16Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B028C002","Still","B","8补","14","2","ARRI_LogC2Video_Rec709_AFL-2","5","Rec.2100 PQ","21:18:14:12","2023-09-21T13:18:17Z","2023-09-21T13:18:17Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A029C006","Still","A","8补","14","0","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","21:51:04:05","2023-09-21T13:51:08Z","2023-09-21T13:51:08Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B028C003","Still","B","8补","14","0","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","21:51:06:00","2023-09-21T13:51:09Z","2023-09-21T13:51:09Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A029C007","Still","A","8补","15","1","ARRI_LogC2Video_Rec709_AFL-2","3","Rec.2100 PQ","00:00:00:00","2023-09-21T14:30:32Z","2023-09-21T14:30:32Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B028C004","Still","B","8补","15","1","ARRI_LogC2Video_Rec709_AFL-2","3","Rec.2100 PQ","22:30:30:13","2023-09-21T14:30:34Z","2023-09-21T14:30:34Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A029C008","Still","A","8补","15","2","ARRI_LogC2Video_Rec709_AFL-2","3","Rec.2100 PQ","22:40:32:08","2023-09-21T14:40:36Z","2023-09-21T14:40:36Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B028C005","Still","B","8补","15","2","ARRI_LogC2Video_Rec709_AFL-2","3","Rec.2100 PQ","22:40:34:05","2023-09-21T14:40:37Z","2023-09-21T14:40:37Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
