"Name / Clip Identifier","Type","Camera","Scene","Shot","Take","Look Name","Rating","Output Colorspace","TC Start","Create Date","Look Modified Date","Grading Mode","LUT Nodes"
"A030C006","Still","A","8补","26","3","ARRI_LogC2Video_Rec709_AFL-2","5","Rec.2100 PQ","04:26:48:17","2023-09-22T12:05:45Z","2023-09-22T12:05:45Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"C028C006","Still","C","8补","26","3","ARRI_LogC2Video_Rec709_AFL-2","5","Rec.2100 PQ","00:00:00:00","2023-09-22T12:05:47Z","2023-09-22T12:05:47Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A030C007","Still","A","8补","27","1","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","06:02:04:05","2023-09-22T12:31:26Z","2023-09-22T12:31:26Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A030C008","Still","A","8补","27","2","ARRI_LogC2Video_Rec709_AFL-2","3","Rec.2100 PQ","06:02:08:19","2023-09-22T12:31:30Z","2023-09-22T12:31:30Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A030C009","Still","A","8补","27","3","ARRI_LogC2Video_Rec709_AFL-2","5","Rec.2100 PQ","06:02:21:05","2023-09-22T12:31:42Z","2023-09-22T12:31:42Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A030C010","Still","A","8补","28","1","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","07:08:35:12","2023-09-22T13:02:21Z","2023-09-22T13:02:21Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B029C001","Still","B","8补","28","1","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","00:00:00:00","2023-09-22T13:02:22Z","2023-09-22T13:02:22Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A030C011","Still","A","8补","28","2","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","07:10:30:18","2023-09-22T13:02:51Z","2023-09-22T13:02:51Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B029C002","Still","B","8补","28","2","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","00:00:00:00","2023-09-22T13:02:52Z","2023-09-22T13:02:52Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A030C012","Still","A","8补","28","3","ARRI_LogC2Video_Rec709_AFL-2","3","Rec.2100 PQ","07:17:35:14","2023-09-22T13:04:45Z","2023-09-22T13:04:45Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B029C003","Still","B","8补","28","3","ARRI_LogC2Video_Rec709_AFL-2","3","Rec.2100 PQ","00:00:00:00","2023-09-22T13:04:46Z","2023-09-22T13:04:46Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A030C013","Still","A","8补","28","4","ARRI_LogC2Video_Rec709_AFL-2","5","Rec.2100 PQ","07:22:36:02","2023-09-22T13:06:05Z","2023-09-22T13:06:05Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B029C004","Still","B","8补","28","4","ARRI_LogC2Video_Rec709_AFL-2","5","Rec.2100 PQ","00:00:00:00","2023-09-22T13:06:07Z","2023-09-22T13:06:07Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A030C014","Still","A","8补","29","1","ARRI_LogC2Video_Rec709_AFL-2","3","Rec.2100 PQ","07:27:55:22","2023-09-22T13:07:31Z","2023-09-22T13:07:31Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B029C005","Still","B","8补","32","1","ARRI_LogC2Video_Rec709_AFL-2","3","Rec.2100 PQ","00:00:00:00","2023-09-22T13:07:32Z","2023-09-22T15:16:23Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A030C015","Still","A","8补","29","2","ARRI_LogC2Video_Rec709_AFL-2","5","Rec.2100 PQ","07:43:52:07","2023-09-22T13:11:46Z","2023-09-22T13:11:46Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A030C016","Still","A","8补","30","1","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","10:19:07:05","2023-09-22T13:56:08Z","2023-09-22T13:56:08Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A030C017","Still","A","8补","30","2","ARRI_LogC2Video_Rec709_AFL-2","5","Rec.2100 PQ","10:22:31:00","2023-09-22T13:56:11Z","2023-09-22T13:56:11Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A030C018","Still","A","8补","30","3","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","10:22:46:06","2023-09-22T13:56:13Z","2023-09-22T13:56:13Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A030C019","Still","A","8补","30","4","ARRI_LogC2Video_Rec709_AFL-2","3","Rec.2100 PQ","10:22:55:21","2023-09-22T13:56:16Z","2023-09-22T13:56:16Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A030C021","Still","A","8补","32","1","ARRI_LogC2Video_Rec709_AFL-2","3","Rec.2100 PQ","10:40:58:02","2023-09-22T15:11:45Z","2023-09-22T15:11:45Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A030C022","Still","A","8补","32","2","ARRI_LogC2Video_Rec709_AFL-2","5","Rec.2100 PQ","10:51:17:19","2023-09-22T15:21:20Z","2023-09-22T15:21:20Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B029C006","Still","B","8补","32","2","ARRI_LogC2Video_Rec709_AFL-2","5","Rec.2100 PQ","00:00:00:00","2023-09-22T15:21:22Z","2023-09-22T15:21:22Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A030C023","Still","A","8补","33","1","ARRI_LogC2Video_Rec709_AFL-2","5","Rec.2100 PQ","00:32:07:02","2023-09-22T16:32:10Z","2023-09-22T16:32:10Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B029C007","Still","B","8补","33","1","ARRI_LogC2Video_Rec709_AFL-2","5","Rec.2100 PQ","00:00:00:00","2023-09-22T16:32:12Z","2023-09-22T16:32:12Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A030C024","Still","A","8补","34","1","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","00:39:22:14","2023-09-22T16:39:25Z","2023-09-22T16:39:25Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B029C009","Still","B","8补","34","1","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","00:00:00:00","2023-09-22T16:39:26Z","2023-09-22T16:39:26Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B029C010","Still","B","8补","34","2","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","00:00:00:00","2023-09-22T16:39:53Z","2023-09-22T16:39:53Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B029C011","Still","B","8补","34","3","ARRI_LogC2Video_Rec709_AFL-2","3","Rec.2100 PQ","00:00:00:00","2023-09-22T16:39:55Z","2023-09-22T16:39:55Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B029C012","Still","B","8补","34","4","ARRI_LogC2Video_Rec709_AFL-2","5","Rec.2100 PQ","00:00:00:00","2023-09-22T16:41:47Z","2023-09-22T16:41:47Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"C028C014","Still","C","8补","35","1","ARRI_LogC2Video_Rec709_AFL-2","3","Rec.2100 PQ","00:56:53:19","2023-09-22T16:56:58Z","2023-09-22T16:56:58Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"C028C015","Still","C","8补","35","2","ARRI_LogC2Video_Rec709_AFL-2","5","Rec.2100 PQ","00:58:36:22","2023-09-22T16:58:40Z","2023-09-22T16:58:40Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B029C013","Still","B","8补","36","1","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","00:00:00:00","2023-09-22T17:18:00Z","2023-09-22T17:18:00Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B029C014","Still","B","8补","36","2","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","00:00:00:00","2023-09-22T17:20:43Z","2023-09-22T17:20:43Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B029C015","Still","B","8补","36","3","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","00:00:00:00","2023-09-22T17:24:31Z","2023-09-22T17:24:31Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B029C016","Still","B","8补","36","4","ARRI_LogC2Video_Rec709_AFL-2","3","Rec.2100 PQ","00:00:00:00","2023-09-22T17:26:45Z","2023-09-22T17:26:45Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B029C017","Still","B","8补","36","5","ARRI_LogC2Video_Rec709_AFL-2","5","Rec.2100 PQ","00:00:00:00","2023-09-22T17:30:55Z","2023-09-22T17:30:55Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B029C018","Still","B","8补","37","1","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","00:00:00:00","2023-09-22T17:38:41Z","2023-09-22T17:38:41Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B029C019","Still","B","8补","37","1","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","00:00:00:00","2023-09-22T17:44:30Z","2023-09-22T17:44:30Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A030C026","Still","A","8补","38","2","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","02:16:31:15","2023-09-22T18:16:35Z","2023-09-22T18:16:35Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"C028C007","Look","C","8补","31","1","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","00:00:00:00","2023-09-23T11:09:23Z","2023-09-23T11:09:23Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"C028C008","Look","C","8补","31","2","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ",,"2023-09-23T11:09:48Z","2023-09-23T11:09:48Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"C028C009","Look","C","8补","31","3","ARRI_LogC2Video_Rec709_AFL-2","3","Rec.2100 PQ",,"2023-09-23T11:10:13Z","2023-09-23T11:10:13Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"C028C010","Look","C","8补","31","4","ARRI_LogC2Video_Rec709_AFL-2","3","Rec.2100 PQ",,"2023-09-23T11:10:14Z","2023-09-23T11:10:14Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"C028C011","Look","C","8补","31","5","ARRI_LogC2Video_Rec709_AFL-2","5","Rec.2100 PQ",,"2023-09-23T11:10:17Z","2023-09-23T11:10:17Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"C028C012","Look","C","8补","31","0","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ",,"2023-09-23T11:10:43Z","2023-09-23T11:10:43Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"C028C013","Look","C","8补","31","0","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ",,"2023-09-23T11:10:44Z","2023-09-23T11:10:44Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A030C025","Still","A","8补","38","1","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","02:16:31:15","2023-09-23T11:16:37Z","2023-09-23T11:16:37Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A030C027","Still","A","8补","39","1","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","02:16:31:15","2023-09-23T11:17:02Z","2023-09-23T11:17:02Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A030C028","Still","A","8补","39","2","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","02:16:31:15","2023-09-23T11:17:02Z","2023-09-23T11:17:02Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
