"Name / Clip Identifier","Type","Camera","Scene","Shot","Take","Look Name","Rating","Output Colorspace","TC Start","Create Date","Look Modified Date","Grading Mode","LUT Nodes"
"A030C001","Still","A","8补","25","0","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","02:33:32:20","2023-09-22T11:32:54Z","2023-09-22T11:32:54Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"C028C001","Still","C","8补","25","0","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","00:00:00:00","2023-09-22T11:32:55Z","2023-09-22T11:32:55Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A030C002","Still","A","8补","25","1","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","02:33:37:14","2023-09-22T11:32:59Z","2023-09-22T11:32:58Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"C028C002","Still","C","8补","25","1","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","00:00:00:00","2023-09-22T11:33:00Z","2023-09-22T11:33:00Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A030C003","Still","A","8补","25","2","ARRI_LogC2Video_Rec709_AFL-2","3","Rec.2100 PQ","02:33:41:09","2023-09-22T11:33:03Z","2023-09-22T11:33:03Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"C028C003","Still","C","8补","25","2","ARRI_LogC2Video_Rec709_AFL-2","3","Rec.2100 PQ","00:00:00:00","2023-09-22T11:33:05Z","2023-09-22T11:33:05Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A030C004","Still","A","8补","26","1","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","04:19:33:12","2023-09-22T12:03:23Z","2023-09-22T12:03:23Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"C028C004","Still","C","8补","26","1","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","00:00:00:00","2023-09-22T12:03:24Z","2023-09-22T12:03:24Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A030C005","Still","A","8补","26","2","ARRI_LogC2Video_Rec709_AFL-2","3","Rec.2100 PQ","04:19:36:07","2023-09-22T12:03:27Z","2023-09-22T12:03:27Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"C028C005","Still","C","8补","26","2","ARRI_LogC2Video_Rec709_AFL-2","3","Rec.2100 PQ","00:00:00:00","2023-09-22T12:03:28Z","2023-09-22T12:03:28Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
